a, b, c, d, e, f
2, 5092, Note_on_c, 0, 60, 80
2, 5092, Note_on_c, 0, 64, 80
2, 5092, Note_on_c, 0, 91, 80
2, 5094, Note_on_c, 0, 79, 80
2, 5113, Note_on_c, 0, 79, 0
2, 5113, Note_on_c, 0, 55, 0
2, 5115, Note_on_c, 0, 60, 0
2, 5115, Note_on_c, 0, 64, 0
2, 5119, Note_on_c, 0, 91, 0
2, 5150, Note_on_c, 0, 75, 80
2, 5150, Note_on_c, 0, 87, 80
2, 5174, Note_on_c, 0, 75, 0
2, 5176, Note_on_c, 0, 87, 0
2, 5186, Note_on_c, 0, 48, 80
2, 5186, Note_on_c, 0, 60, 80
2, 5186, Note_on_c, 0, 76, 80
2, 5186, Note_on_c, 0, 84, 80
2, 5186, Note_on_c, 0, 88, 80
2, 5195, Control_c, 0, 64, 127
2, 5210, Note_on_c, 0, 84, 0
2, 5210, Note_on_c, 0, 76, 0
2, 5212, Note_on_c, 0, 48, 0
2, 5216, Note_on_c, 0, 88, 0
2, 5245, Note_on_c, 0, 60, 0
2, 5247, Note_on_c, 0, 73, 80
2, 5247, Note_on_c, 0, 85, 80
2, 5259, Control_c, 0, 64, 0
2, 5272, Note_on_c, 0, 85, 0
2, 5272, Note_on_c, 0, 73, 0
2, 5280, Note_on_c, 0, 58, 80
2, 5282, Note_on_c, 0, 46, 80
2, 5284, Note_on_c, 0, 74, 80
2, 5284, Note_on_c, 0, 86, 80
2, 5306, Note_on_c, 0, 74, 0
2, 5308, Note_on_c, 0, 86, 0
2, 5308, Note_on_c, 0, 46, 0
2, 5341, Note_on_c, 0, 74, 80
2, 5341, Note_on_c, 0, 86, 80
2, 5345, Note_on_c, 0, 58, 0
2, 5376, Note_on_c, 0, 57, 80
2, 5380, Note_on_c, 0, 45, 80
2, 5402, Note_on_c, 0, 45, 0
2, 5402, Note_on_c, 0, 74, 0
2, 5404, Note_on_c, 0, 86, 0
2, 5433, Note_on_c, 0, 72, 80
2, 5437, Note_on_c, 0, 84, 80
2, 5439, Note_on_c, 0, 57, 0
2, 5460, Note_on_c, 0, 72, 0
2, 5462, Note_on_c, 0, 84, 0
2, 5471, Note_on_c, 0, 55, 80
2, 5472, Note_on_c, 0, 43, 80
2, 5472, Note_on_c, 0, 71, 80
2, 5474, Note_on_c, 0, 83, 80
2, 5498, Note_on_c, 0, 71, 0
2, 5498, Note_on_c, 0, 43, 0
